gun,kapanis_fiyat
1,5.6483
2,5.71762
3,5.7027
4,5.6944
5,5.7115
6,5.84
7,5.83381
8,5.8764
9,5.8427
10,5.8943
11,5.9274
12,5.9218
13,5.8841
14,5.8172
15,5.798
16,5.85852
17,5.79962
18,5.73577
19,5.7661
20,5.772
21,5.7288
22,5.7509
23,5.701
24,5.7108
25,5.7028
26,5.7333
27,5.753
28,5.7503
29,5.7658
30,5.76576
31,5.76876
32,5.77169
33,5.75343
34,5.7494
35,5.74442
36,5.72583
37,5.7023
38,5.6991
39,5.6971
40,5.71504
41,5.7417
42,5.7593
43,5.7786
44,5.758
45,5.7476
46,5.74023
47,5.7425
48,5.74568
49,5.74533
50,5.77871
51,5.8104
52,5.8049
53,5.8039
54,5.772
55,5.80705
56,5.84803
57,5.8851
58,5.9265
59,5.9401
60,5.93585
61,5.9472
62,5.9477
63,5.93462
64,5.9323
65,5.94879
66,5.94722
67,5.9478
68,5.9463
69,5.9557
70,5.96796
71,5.969
72,5.97437
73,5.9089
74,5.8773
75,5.87533
76,5.8655
77,5.8871
78,5.87535
79,5.8551
80,5.89077
81,5.91078
82,5.9331
83,5.91966
84,5.9292
85,5.94478
86,5.9428
87,5.941
88,5.95666
89,5.97415
90,5.97504
91,5.9836
92,5.97772
93,5.9809
94,5.9877
95,5.98694
96,6.0057
97,6.016
98,6.0442
99,6.0397
100,6.0542
101,6.0467
102,6.064
103,6.083
104,6.1024
105,6.10919
106,6.1152
107,6.1473
108,6.1601
109,6.20677
110,6.24927
111,6.1713
112,6.1122
113,6.0798
114,6.10253
115,6.12108
116,6.1574
117,6.17062
118,6.2111
119,6.3162
120,6.28287
121,6.4293
122,6.3997
123,6.4719
124,6.54132
125,6.55721
126,6.5467
127,6.4363
128,6.4186
129,6.3998
130,6.4598
131,6.56504
132,6.61299
133,6.7073
134,6.6323
135,6.74
136,6.7657
137,6.75769
138,6.7729
139,6.6861
140,6.7228
141,6.76733
142,6.81653
143,6.89703
144,6.9221
145,6.9044
146,6.9406
147,6.9747
148,6.9804
149,6.956
150,6.9658
151,6.9853
152,6.9871
153,6.951
154,6.9893
155,7.0168
156,7.04466
157,7.0837
158,7.19708
159,7.0883
160,7.094
161,7.0634
162,6.99205
163,6.96986
164,6.9253
165,6.88334
166,6.877
167,6.77979
168,6.7841
169,6.79
170,6.8091
171,6.814
172,6.72553
173,6.7755
174,6.81105
175,6.8041
176,6.8046
177,6.6963
178,6.7241
179,6.7489
180,6.7614
181,6.7754
182,6.7875
183,6.7699
184,6.8351
185,6.8134
186,6.82217
187,6.83096
188,6.8318
189,6.85311
190,6.8469
191,6.8423
192,6.8446
193,6.85048
194,6.85274
195,6.85054
196,6.8495
197,6.8473
198,6.8456
199,6.8481
200,6.8585
201,6.8562
202,6.85336
203,6.85791
204,6.85773
205,6.8597
206,6.8554
207,6.86349
208,6.8529
209,6.85563
210,6.8519
211,6.85365
212,6.82688
213,6.8402
214,6.83559
215,6.8407
216,6.8791
217,6.9388
218,6.9707
219,6.9694
220,6.96923
221,6.9604
222,6.9261
223,7.04955
224,7.22324
225,7.29964
226,7.3281
227,7.22412
228,7.31902
229,7.3321
230,7.366
231,7.37343
232,7.3649
233,7.2779
234,7.2962
235,7.28457
236,7.3729
237,7.3932
238,7.34875
239,7.3526
240,7.3249
241,7.3526
242,7.3594
243,7.36324
244,7.42201
245,7.4314
246,7.4497
247,7.4791
248,7.46888
249,7.4425
250,7.46729
251,7.4835
252,7.4854
253,7.4927
254,7.5446
255,7.5576
256,7.61664
257,7.6677
258,7.6986
259,7.6157
260,7.65818
261,7.78036
262,7.81133
263,7.77276
